Date,Total Coronavirus Cases in Italy,Daily New Cases in Italy,Active Cases in Italy,Total Coronavirus Deaths in Italy,Daily New Deaths in Italy,New Recoveries,New Cases
Feb-15,3,0,3,0,0,0,0
Feb-16,3,0,3,0,0,0,0
Feb-17,3,0,3,0,0,0,0
Feb-18,3,0,3,0,0,0,0
Feb-19,3,0,3,0,0,0,0
Feb-20,4,1,4,0,0,0,1
Feb-21,21,17,19,1,1,1,17
Feb-22,79,58,75,2,1,1,58
Feb-23,157,78,152,3,1,0,78
Feb-24,229,72,221,7,4,-1,72
Feb-25,323,94,310,11,4,1,94
Feb-26,470,147,455,12,1,1,147
Feb-27,655,185,593,17,5,42,185
Feb-28,889,234,822,21,4,1,234
Feb-29,1128,239,1049,29,8,4,239
Mar-01,1701,573,1577,41,12,33,573
Mar-02,2036,335,1835,52,11,66,335
Mar-03,2502,466,2263,79,27,11,466
Mar-04,3089,587,2706,107,28,116,587
Mar-05,3858,769,3296,148,41,138,769
Mar-06,4636,778,3916,197,49,109,778
Mar-07,5883,1247,5061,233,36,66,1247
Mar-08,7375,1492,6387,366,133,33,1492
Mar-09,9172,1797,7985,463,97,102,1797
Mar-10,10149,977,8514,631,168,280,977
Mar-11,12462,2313,10590,827,196,41,2313
Mar-12,15113,2651,12839,1016,189,213,2651
Mar-13,17660,2547,14955,1266,250,181,2547
Mar-14,21157,3497,17750,1441,175,527,3497
Mar-15,24747,3590,20603,1809,368,369,3590
Mar-16,27980,3233,23073,2158,349,414,3233
Mar-17,31506,3526,26062,2503,345,192,3526
Mar-18,35713,4207,28710,2978,475,1084,4207
Mar-19,41035,5322,33190,3405,427,415,5322
Mar-20,47021,5986,37860,4032,627,689,5986
Mar-21,53578,6557,42681,4825,793,943,6557
Mar-22,59138,5560,46638,5476,651,952,5560
Mar-23,63927,4789,50418,6077,601,408,4789
Mar-24,69176,5249,54030,6820,743,894,5249
Mar-25,74386,5210,57521,7503,683,1036,5210
Mar-26,80589,6203,62013,8215,712,999,6203
Mar-27,86498,5909,66414,9134,919,589,5909
Mar-28,92472,5974,70065,10023,889,1434,5974
Mar-29,97689,5217,73880,10779,756,646,5217
Mar-30,101739,4050,75528,11591,812,1590,4050
Mar-31,105792,4053,77635,12428,837,1109,4053
Apr-01,110574,4782,80572,13155,727,1118,4782
Apr-02,115242,4668,83049,13915,760,1431,4668
Apr-03,119827,4585,85388,14681,766,1480,4585
